district,campus,order,articulated_avg,unarticulated_avg
Citrus Community College District,UCSD,4,1.07,0.0
Citrus Community College District,UCSB,1,3.0,0.0
Citrus Community College District,UCSB,2,0.75,0.0
Citrus Community College District,UCSB,3,0.21,0.0
Citrus Community College District,UCSB,4,0.07,0.0
Citrus Community College District,UCLA,1,4.0,2.0
Citrus Community College District,UCLA,2,1.0,2.0
Citrus Community College District,UCLA,3,0.25,2.0
Citrus Community College District,UCLA,4,0.07,2.0
Citrus Community College District,UCB,1,4.0,0.0
Citrus Community College District,UCB,2,1.0,0.0
Citrus Community College District,UCB,3,0.25,0.0
Citrus Community College District,UCB,4,0.07,0.0
Citrus Community College District,UCSC,1,3.0,0.0
Citrus Community College District,UCSC,2,0.5,0.0
Citrus Community College District,UCSC,3,0.04,0.0
Citrus Community College District,UCSC,4,0.0,0.0
Citrus Community College District,UCI,1,4.0,0.0
Citrus Community College District,UCI,2,1.0,0.0
Citrus Community College District,UCI,3,0.25,0.0
Citrus Community College District,UCI,4,0.07,0.0
Citrus Community College District,UCR,1,1.0,0.0
Citrus Community College District,UCR,2,0.25,0.0
Citrus Community College District,UCR,3,0.04,0.0
Citrus Community College District,UCR,4,0.0,0.0
Coast Community College District,UCD,1,4.0,0.0
Coast Community College District,UCD,2,0.88,0.0
Coast Community College District,UCD,3,0.21,0.0
Coast Community College District,UCD,4,0.04,0.0
Coast Community College District,UCM,1,5.0,0.0
Coast Community College District,UCM,2,2.5,0.0
Coast Community College District,UCM,3,2.11,0.0
Coast Community College District,UCM,4,1.96,0.0
Coast Community College District,UCSD,1,5.0,0.0
Coast Community College District,UCSD,2,2.12,0.0
Coast Community College District,UCSD,3,1.46,0.0
Coast Community College District,UCSD,4,1.25,0.0
Coast Community College District,UCSB,1,3.0,0.0
Coast Community College District,UCSB,2,0.62,0.0
Coast Community College District,UCSB,3,0.25,0.0
Coast Community College District,UCSB,4,0.18,0.0
Coast Community College District,UCLA,1,4.0,2.0
Coast Community College District,UCLA,2,0.88,2.0
Coast Community College District,UCLA,3,0.21,2.0
Coast Community College District,UCLA,4,0.04,2.0
Coast Community College District,UCB,1,3.0,0.0
Coast Community College District,UCB,2,0.62,0.0
Coast Community College District,UCB,3,0.14,0.0
Coast Community College District,UCB,4,0.02,0.0
Coast Community College District,UCSC,1,3.0,0.0
Coast Community College District,UCSC,2,0.38,0.0
Coast Community College District,UCSC,3,0.04,0.0
Coast Community College District,UCSC,4,0.0,0.0
Coast Community College District,UCI,1,4.0,0.0
Coast Community College District,UCI,2,0.88,0.0
Coast Community College District,UCI,3,0.21,0.0
Coast Community College District,UCI,4,0.04,0.0
Coast Community College District,UCR,1,1.0,0.0
Coast Community College District,UCR,2,0.38,0.0
Coast Community College District,UCR,3,0.14,0.0
Coast Community College District,UCR,4,0.02,0.0
Compton Community College District,UCD,1,4.0,0.0
Compton Community College District,UCD,2,0.75,0.0
Compton Community College District,UCD,3,0.14,0.0
Compton Community College District,UCD,4,0.02,0.0
Compton Community College District,UCM,1,5.0,0.0
Compton Community College District,UCM,2,2.38,0.0
Compton Community College District,UCM,3,2.04,0.0
Compton Community College District,UCM,4,2.0,0.0
Compton Community College District,UCSD,1,4.0,0.0
Compton Community College District,UCSD,2,0.75,0.0
Compton Community College District,UCSD,3,0.14,0.0
Compton Community College District,UCSD,4,0.02,0.0
Compton Community College District,UCSB,1,3.0,0.0
Compton Community College District,UCSB,2,0.5,0.0
Compton Community College District,UCSB,3,0.11,0.0
Compton Community College District,UCSB,4,0.02,0.0
Compton Community College District,UCLA,1,4.0,2.0
Compton Community College District,UCLA,2,0.75,2.0
Compton Community College District,UCLA,3,0.14,2.0
Compton Community College District,UCLA,4,0.02,2.0
Compton Community College District,UCB,1,4.0,0.0
Compton Community College District,UCB,2,0.75,0.0
Compton Community College District,UCB,3,0.14,0.0
Compton Community College District,UCB,4,0.02,0.0
Compton Community College District,UCSC,1,3.0,0.0
Compton Community College District,UCSC,2,0.25,0.0
Compton Community College District,UCSC,3,0.0,0.0
Compton Community College District,UCSC,4,0.0,0.0
Compton Community College District,UCI,1,4.0,0.0
Compton Community College District,UCI,2,0.75,0.0
Compton Community College District,UCI,3,0.14,0.0
